 project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Statement,Average,0,0,0,0.0,-1,6.0,6.459183343919218e-05,5.211888331242157,3
black,3,Statement,Average,0,0,0,0.0,-1,46853.5,0.5130469537032981,25.650810681926558,-2.033977110157368
black,4,Statement,Average,0,0,0,0.0,-1,231.0,0.002552260573650948,8.37654165617921,-2.150138434432419
black,6,Statement,Average,0,1,1,0.11206574523720583,-1,27.5,0.00030428432327166507,5.35562827225131,-2.326701570680628
black,7,Statement,Average,0,1,1,0.11876484560570072,-1,192.0,0.0021255632188997998,27.917884666489506,-2.5053149083178314
black,8,Statement,Average,0,1,1,0.7784431137724551,-1,37.5,0.0004151766438227251,20.91427050053248,-2.3128328008519703
black,10,Statement,Average,0,1,1,1.0344827586206897,-1,1.0,1.1079964100916312e-05,0.0,8
black,11,Statement,Average,0,1,1,0.12526096033402923,-1,708.0,0.007846005518800492,20.35595530117198,-2.3683565004088307
black,14,Statement,Average,1,1,1,5.742574257425743,-1,1.0,1.1112716281240624e-05,0.0,8
black,15,Statement,Average,0,1,1,5.055368319691863,-1,1.0,1.1103955228852518e-05,0.0,8
black,18,Statement,Average,0,0,1,0.15467904098994587,-1,1.5,0.0002920560747663551,0.000453857791225416,2.999848714069592
black,19,Statement,Average,0,0,1,0.20352781546811397,-1,19.5,0.004354622599374721,11.624455876533439,-2.20795409576573
black,23,Statement,Average,0,1,1,0.06711409395973154,-1,127.0,0.03469945355191257,1.0963331261653202,-2.023927905531386
cookiecutter,1,Statement,Average,1,0,0,0.0,-1,3.0,0.0019646365422396855,0.02280701754385965,0.32982456140350846
cookiecutter,2,Statement,Average,0,1,1,5.555555555555555,-1,1.0,0.00066711140760507,0.0,8
cookiecutter,3,Statement,Average,0,0,0,0.0,-1,5.5,0.0037645448323066393,0.46859504132231405,-1.0223140495867769
cookiecutter,4,Statement,Average,0,1,0,0.0,-1,29.25,0.03242793791574279,135.91343186446372,-7.0
fastapi,1,Statement,Average,0,1,1,16.129032258064516,-1,3.0,0.0006723442402510085,0.04528301886792453,-0.007547169811320531
fastapi,2,Statement,Average,0,0,0,0.0,-1,2551.0,0.5727436012572968,176.6125126135217,-2.294651866801211
fastapi,3,Statement,Average,1,1,1,5.172413793103448,-1,6.5,0.0014685946678716674,0.10174717368961975,-2.000513874614594
fastapi,4,Statement,Average,0,0,0,0.0,-1,98.0,0.022207115341037843,550.0,-12
fastapi,5,Statement,Average,0,0,0,0.0,-1,2381.0,0.5400317532320255,275.0,-7.0
fastapi,6,Statement,Average,0,1,1,1.8518518518518516,-1,81.5,0.018514311676510676,550.0,-12.0
fastapi,7,Statement,Average,1,0,0,0.0,-1,5.0,0.0011641443538998836,60.130434782608695,-5.0144927536231885
fastapi,9,Statement,Average,0,1,0,0.0,-1,831.8333333333334,0.21919191919191922,550.0,-12.0
fastapi,10,Statement,Average,0,0,0,0.0,-1,3.5,0.0009251916468411313,0.029274004683840754,-0.3362607338017174
fastapi,11,Statement,Average,1,0,0,0.0,-1,1510.6666666666667,0.40166622352211295,429.9827688651218,-12.0
fastapi,12,Statement,Average,0,0,0,0.0,-1,1.0,0.00028050490883590464,0.0,8.0
fastapi,14,Statement,Average,0,0,0,0.0,-1,870.75,0.3292060491493384,550.0,-12.0
fastapi,16,Statement,Average,1,1,1,66.66666666666666,-1,1.0,0.00039416633819471815,0.0,8
httpie,2,Statement,Average,0,1,1,1.6194331983805668,-1,183.0,0.06673960612691467,545.0,-7
httpie,3,Statement,Average,1,0,1,0.47393364928909953,-1,77.0,0.02838186509399189,275.0,-7
httpie,4,Statement,Average,0,1,1,0.2785515320334262,-1,115.5,0.044994156603038564,550.0,-12.0
httpie,5,Statement,Average,0,1,1,27.173913043478258,-1,4.0,0.006633499170812604,0.49833887043189373,5
keras,1,Statement,Average,0,0,1,2.941176470588235,-1,1.0,2.6091948024839534e-05,0.0,8
keras,3,Statement,Average,1,0,0,0.0,-1,112.0,0.0029247401681725595,550.0,-12.0
keras,5,Statement,Average,0,0,0,0.0,-1,87.0,0.0023252084669660037,275.0,-7.0
keras,6,Statement,Average,0,0,0,0.0,-1,98.0,0.002643575840953845,550.0,-12
keras,7,Statement,Average,0,0,0,0.0,-1,3.5,9.459970809232931e-05,1.8536231884057968,0.9985507246376812
keras,10,Statement,Average,1,1,1,25.0,-1,1.5,4.044107735030061e-05,0.0024752475247524753,2.9991749174917492
keras,14,Statement,Average,1,0,1,45.45454545454545,-1,1.0,2.7899450380827496e-05,0.0,8
keras,17,Statement,Average,0,0,1,9.615384615384617,-1,4.0,0.00011294330246216399,10.0875,5
keras,18,Statement,Average,1,0,0,0.0,-1,17.5,0.000494601774913798,343.31563354603463,-2.0006836827711942
keras,20,Statement,Average,1,1,0,0.0,-1,21.363636363636363,0.0006033562009612619,75.62025101763908,-7
keras,26,Statement,Average,1,0,0,0.0,-1,2.0,5.1225571805445276e-05,0.00535631113181183,7
keras,31,Statement,Average,1,0,0,0.0,-1,2.666666666666667,6.914553406281872e-05,0.00453732985013062,0.8563866355011691
keras,33,Statement,Average,1,1,1,95.45454545454545,-1,1.0,2.6079019428869475e-05,0.0,8.0
keras,35,Statement,Average,1,1,1,0.2145922746781116,-1,4.0,0.00010645092612305727,0.6393700787401575,5
keras,38,Statement,Average,1,0,1,0.11771630370806356,-1,12.0,0.00032837127845884414,23.10120705663881,-3.0167130919220058
keras,40,Statement,Average,0,0,1,1.342281879194631,-1,13.0,0.0003674392312040701,9.142651296829971,-2.1594620557156583
keras,41,Statement,Average,0,1,1,8.333333333333332,-1,1.5,4.3306290960533534e-05,0.002097902097902098,2.999300699300699
keras,43,Statement,Average,0,0,0,0.0,-1,8.333333333333334,0.0002418192546163296,2.351449275362319,-2.1630434782608696
pandas,2,Statement,Average,1,1,1,0.6765899864682002,-1,66.0,0.0005138386079644984,416.1048981361075,-2.5088859991330734
pandas,12,Statement,Average,1,0,1,0.1620745542949757,-1,95.0,0.0007437854766099041,550.0,-12
pandas,23,Statement,Average,1,0,0,0.0,-1,8.5,6.677088161129921e-05,50.33021806853583,-3.0010384215991692
pandas,43,Statement,Average,0,1,1,0.23134759976865238,-1,924.0,0.007316319986064152,550.0,-12.0
pandas,54,Statement,Average,0,1,0,0.0,-1,5839.333333333333,0.04642534392333643,382.43463193950026,-2.0017094017094017
pandas,56,Statement,Average,0,0,0,0.0,-1,187.33333333333334,0.0014895032427174688,487.5,-12.0
pandas,68,Statement,Average,1,0,0,0.0,-1,42975.0,0.34253399435685705,550.0,-12
pandas,72,Statement,Average,1,1,1,1.6006739679865205,-1,2.3333333333333335,1.8612912575149637e-05,0.000837257980115123,3.6665620094191524
pandas,74,Statement,Average,0,1,1,0.3546099290780142,-1,95.0,0.0007581622147913458,550.0,-12
pandas,77,Statement,Average,1,0,0,0.0,-1,2.0,1.596194671902185e-05,0.007653061224489796,1.33078231292517
pandas,81,Statement,Average,1,1,1,2.1505376344086025,-1,88.0,0.0007042253521126761,505.0,-7.0
pandas,84,Statement,Average,1,0,0,0.0,-1,3.0,2.4024985985424843e-05,10.144444444444444,6.0
pandas,116,Statement,Average,1,0,0,0.0,-1,183.0,0.0014663226550856556,550.0,-12
pandas,137,Statement,Average,1,1,1,0.1282051282051282,-1,247.0,0.0019724968456022104,519.3541960047984,-2.782767433369843
pandas,141,Statement,Average,1,0,1,6.2645011600928076,-1,93.0,0.0007449833780590379,550.0,-12.0
pandas,143,Statement,Average,1,1,1,0.49261083743842365,-1,50.5,0.0004047317550130636,550.0,-12
pandas,146,Statement,Average,1,1,1,19.047619047619047,-1,1.0,8.023170917610058e-06,0.0,8
pandas,168,Statement,Average,1,1,0,0.0,-1,4.0,3.1819266565905655e-05,50.004418262150224,5
sanic,1,Statement,Average,0,0,0,0.0,-1,4.0,0.000301091456529921,1.9829127756805085,-0.7697198489966224
sanic,3,Statement,Average,0,1,1,5.88235294117647,-1,24.0,0.0017640573318632856,147.50885558583107,-4.009536784741144
sanic,4,Statement,Average,0,1,1,0.2004008016032064,-1,11.5,0.0008391710449503795,275.0,-7.0
spacy,1,Statement,Average,0,0,0,0,-1,1.0,9.429958979678439e-06,0.0,8.0
spacy,2,Statement,Average,0,0,0,0.0,-1,4.666666666666667,4.4068810299510526e-05,30.008231707317073,-0.0009146341463415197
spacy,3,Statement,Average,0,0,0,0.0,-1,3.0,2.8053113895642416e-05,0.007104795737122558,6
spacy,4,Statement,Average,1,0,1,46.51162790697674,-1,4.0,3.98358761900968e-05,0.2978723404255319,5
spacy,5,Statement,Average,1,0,0,0.0,-1,1.0,1.002194806626512e-05,0.0,8
spacy,6,Statement,Average,0,1,1,0.8620689655172413,-1,9.5,9.542559816782852e-05,180.0082680591819,-5.000435161009573
thefuck,2,Statement,Average,0,0,0,0.0,-1,6.5,0.0014966612940363804,15.982195845697332,-2.001483679525222
thefuck,3,Statement,Average,0,0,0,0,-1,1.6666666666666665,0.0003878675044604763,0.01171875,2.99609375
thefuck,4,Statement,Average,1,0,1,37.5,-1,8.0,0.0019351717464925011,33.7787610619469,1.0
thefuck,6,Statement,Average,1,0,1,4.545454545454546,-1,2.0,0.0004889975550122249,10.0,7
thefuck,7,Statement,Average,0,0,0,0.0,-1,3.5,0.000885851683118198,65.0,-4.0
thefuck,8,Statement,Average,0,0,0,0.0,-1,2.666666666666667,0.0007000962632361951,0.1928571428571429,0.8249999999999997
thefuck,13,Statement,Average,0,0,0,0.0,-1,7.0,0.0026565464895635673,110.6086956521739,2.0
thefuck,14,Statement,Average,0,1,1,100.0,-1,1.0,0.00039261876717707107,0.0,8
thefuck,15,Statement,Average,0,0,1,4.3478260869565215,-1,2.0,0.0007914523149980214,20.0,-5.333333333333334
thefuck,17,Statement,Average,0,0,1,1.7857142857142856,-1,2.5,0.0010208248264597796,20.0,-3.0
thefuck,19,Statement,Average,0,0,0,0.0,-1,4.5,0.002005347593582888,82.5,-9.0
thefuck,20,Statement,Average,0,0,1,58.333333333333336,-1,3.0,0.001344688480502017,30.0,6
thefuck,25,Statement,Average,0,0,0,0.0,-1,1.0,0.00055005500550055,0.0,8
thefuck,26,Statement,Average,0,0,1,57.89473684210527,-1,2.5,0.0013706140350877192,0.15384615384615385,1.9615384615384617
thefuck,28,Statement,Average,0,0,1,16.666666666666664,-1,1.25,0.0006948304613674264,0.0037313432835820895,5.496268656716418
thefuck,29,Statement,Average,0,0,0,0.0,-1,1.3333333333333333,0.0007419773696902244,0.011494252873563218,4.655172413793103
tornado,1,Statement,Average,0,0,1,0.11689070718877849,-1,1.0,5.662514156285391e-05,0.0,8
tornado,5,Statement,Average,0,1,1,27.397260273972602,-1,1.6666666666666665,9.2162500921625e-05,0.001839738348323794,2.9993867538838916
tornado,6,Statement,Average,0,0,0,0.0,-1,6841.5,0.3787576814482644,40.55637254901961,-2.0857843137254903
tornado,8,Statement,Average,0,0,0,0.0,-1,275.0,0.015746678882272103,136.8091202582728,-2.0076674737691684
tqdm,4,Statement,Average,1,0,0,0.0,-1,1.0,0.0004938271604938272,0.0,8
tqdm,5,Statement,Average,1,1,1,1.240694789081886,-1,8.333333333333334,0.004313319530710835,4.742313915857605,-2.0792880258899675
tqdm,6,Statement,Average,1,0,0,0.0,-1,1.0,0.0005307855626326964,0.0,8
tqdm,7,Statement,Average,1,0,0,0.0,-1,961.0,0.5265753424657534,23.15776699029126,-2.3058252427184467
tqdm,8,Statement,Average,0,0,0,0.0,-1,1.5,0.001323918799646955,0.0018028846153846155,2.9993990384615383
tqdm,9,Statement,Average,1,1,1,4.761904761904762,-1,6.0,0.011194029850746268,0.13442622950819674,3.0
youtube-dl,1,Statement,Average,0,0,1,0.2695417789757413,-1,8.666666666666666,7.979694745984832e-05,0.07402881399536917,-2.002315410342166
youtube-dl,2,Statement,Average,0,0,1,1.6842105263157894,-1,20.2,0.00019185290011302224,550.0,-12.0
youtube-dl,6,Statement,Average,0,1,1,33.33333333333333,-1,1.5,2.3032275895955532e-05,0.0005900865460267506,2.999803304484658
youtube-dl,7,Statement,Average,0,1,1,4.3478260869565215,-1,8.5,0.00013538912427128795,0.08346645367412142,-2.0059904153354635
youtube-dl,13,Statement,Average,0,1,1,9.090909090909092,-1,10.0,8.709208245878367e-05,0.037719298245614034,-1
youtube-dl,15,Statement,Average,0,0,0,0.0,-1,54201.5,0.5111950504107367,0.1810031185031185,-2.005717255717256
youtube-dl,17,Statement,Average,1,0,1,3.8461538461538463,-1,2.5,2.458718122719539e-05,0.0011767782426778243,0.4996077405857742
youtube-dl,18,Statement,Average,0,0,1,0.21052631578947367,-1,9.0,8.907010807173113e-05,0.08666953651886927,-2.0063136748457455
youtube-dl,20,Statement,Average,0,0,1,3.571428571428571,-1,34885.33333333333,0.3476469982494078,0.08368200836820082,-2.0047071129707112
youtube-dl,21,Statement,Average,0,1,1,88.88888888888889,-1,3.3333333333333335,3.468212101979309e-05,0.001784243755146857,2.6664836673071646
youtube-dl,24,Statement,Average,0,1,1,0.1520912547528517,-1,42.0,0.0004706831629908553,167.71177558569667,-2.0110974106041923
youtube-dl,25,Statement,Average,0,0,1,3.4482758620689653,-1,4.0,4.7455777147670515e-05,0.01121485297274093,-0.6670959433354793
youtube-dl,31,Statement,Average,0,1,1,58.139534883720934,-1,4.0,9.946784701845128e-05,0.007722772277227723,-0.0003960396039603964
youtube-dl,34,Statement,Average,0,1,0,0.0,-1,9314.25,0.25537383818166864,0.423352654057352,-2.00183038438072
youtube-dl,41,Statement,Average,0,0,0,0.0,-1,14.666666666666668,0.0007153075822603721,0.7428396072013094,-2.0204582651391165
youtube-dl,43,Statement,Average,0,0,0,0.0,-1,4.0,0.00023430178069353328,0.009149130832570906,5
