project_name,bug_number,granularity,technique,crashing,predicate,experiment_time_seconds,e_inspect,exam_score
black,1,Module,PS,0,0,93.75341796875,1.0,0.041666666666666664
black,3,Module,PS,0,0,9.7900550365448,12.5,0.5208333333333334
black,4,Module,PS,0,0,4539.681412220001,1.0,0.043478260869565216
black,6,Module,PS,0,1,169262.10593223572,1.0,0.043478260869565216
black,7,Module,PS,0,1,14672.780691862106,1.0,0.043478260869565216
black,8,Module,PS,0,1,18637.41338825226,12.0,0.5217391304347826
black,10,Module,PS,0,1,38684.765807151794,1.0,0.043478260869565216
black,11,Module,PS,0,1,118834.71238160133,12.0,0.5217391304347826
black,14,Module,PS,1,1,37932.707665205,11.5,0.5227272727272727
black,15,Module,PS,0,1,113452.8176958561,12.0,0.5454545454545454
black,18,Module,PS,0,0,29421.612568616867,1.0,0.06666666666666667
black,19,Module,PS,0,0,6064.00123167038,8.0,0.5333333333333333
black,23,Module,PS,0,1,35329.5361802578,5.0,0.35714285714285715
cookiecutter,1,Module,PS,1,0,2.074887990951538,9.5,0.5277777777777778
cookiecutter,2,Module,PS,0,1,26.76218032836914,9.5,0.5277777777777778
cookiecutter,3,Module,PS,0,0,18.29013729095459,9.5,0.5277777777777778
cookiecutter,4,Module,PS,0,1,6.338956594467163,3.25,0.2708333333333333
fastapi,1,Module,PS,0,1,205.24002027511597,8.2,0.205
fastapi,2,Module,PS,0,0,55.62518310546875,20.5,0.5125
fastapi,3,Module,PS,1,1,242.84236693382263,20.5,0.5125
fastapi,4,Module,PS,0,0,2511.5323479175568,14.5,0.5370370370370371
fastapi,5,Module,PS,0,0,205.59823203086853,14.5,0.5370370370370371
fastapi,6,Module,PS,0,1,457.0858738422394,1.0,0.037037037037037035
fastapi,7,Module,PS,1,0,60.436787843704224,13.5,0.5192307692307693
fastapi,9,Module,PS,0,1,4017.0252335071564,13.0,0.52
fastapi,10,Module,PS,0,0,113.7317590713501,13.0,0.52
fastapi,11,Module,PS,1,0,143.00503993034363,13.0,0.52
fastapi,12,Module,PS,0,0,35.077723026275635,1.0,0.04
fastapi,14,Module,PS,0,0,1623.813777923584,12.0,0.5217391304347826
fastapi,16,Module,PS,1,1,13.46517539024353,11.0,0.5238095238095238
httpie,2,Module,PS,0,1,192.34046244621277,8.666666666666668,0.34666666666666673
httpie,3,Module,PS,1,0,26.51479935646057,13.0,0.52
httpie,4,Module,PS,0,1,220.40973734855652,1.0,0.04
httpie,5,Module,PS,0,1,26.653422117233276,3.5,0.5833333333333334
keras,1,Module,PS,0,0,627.9061393737793,1.0,0.007246376811594203
keras,3,Module,PS,1,0,1869.1951713562012,67.5,0.503731343283582
keras,5,Module,PS,0,0,55.69915580749512,67.5,0.5075187969924813
keras,6,Module,PS,0,0,4203.084482192993,1.0,0.007633587786259542
keras,7,Module,PS,0,0,12379.123174905777,64.5,0.50390625
keras,10,Module,PS,1,1,86.7047348022461,66.0,0.5038167938931297
keras,14,Module,PS,1,0,58.315861225128174,64.0,0.5039370078740157
keras,17,Module,PS,0,0,145.79922080039978,64.5,0.5078740157480315
keras,18,Module,PS,1,0,72.30160403251648,64.0,0.5039370078740157
keras,20,Module,PS,1,1,17664.967761039734,21.333333333333332,0.1679790026246719
keras,26,Module,PS,1,0,3134.593938589096,62.5,0.5040322580645161
keras,31,Module,PS,1,0,21.71104598045349,58.5,0.5043103448275862
keras,33,Module,PS,1,1,28.679107666015625,58.5,0.5043103448275862
keras,35,Module,PS,1,1,5849.953172206879,58.5,0.5043103448275862
keras,38,Module,PS,1,0,6425.10378241539,57.0,0.504424778761062
keras,40,Module,PS,0,0,827.7390344142914,56.0,0.5045045045045045
keras,41,Module,PS,0,1,77.3177375793457,55.5,0.5045454545454545
keras,43,Module,PS,0,0,58.696354389190674,55.5,0.5045454545454545
pandas,2,Module,PS,1,1,32277.67711544037,117.5,0.5021367521367521
pandas,12,Module,PS,1,0,24271.84233021736,117.0,0.5043103448275862
pandas,23,Module,PS,1,0,99578.901201725,1.5,0.006493506493506494
pandas,43,Module,PS,0,1,28776.36675977707,3.0,0.013215859030837005
pandas,54,Module,PS,0,1,46.08626055717468,114.0,0.5022026431718062
pandas,56,Module,PS,0,0,23584.782984018326,114.0,0.5022026431718062
pandas,68,Module,PS,1,0,4974.024302482605,113.5,0.5022123893805309
pandas,72,Module,PS,1,1,4081.1331992149353,113.5,0.5022123893805309
pandas,74,Module,PS,0,1,3342.62832403183,1.0,0.004424778761061947
pandas,77,Module,PS,1,0,319.3047137260437,113.5,0.5022123893805309
pandas,81,Module,PS,1,1,12458.790018081665,113.5,0.5022123893805309
pandas,84,Module,PS,1,0,36150.16482114792,112.5,0.5022321428571429
pandas,116,Module,PS,1,0,40300.29475188255,110.0,0.502283105022831
pandas,137,Module,PS,1,1,132688.53024053574,111.5,0.5068181818181818
pandas,141,Module,PS,1,0,15481.485755681992,110.0,0.502283105022831
pandas,143,Module,PS,1,1,66614.74611353874,110.0,0.502283105022831
pandas,146,Module,PS,1,1,267.63145875930786,72.0,0.33488372093023255
pandas,168,Module,PS,1,1,8535.846648693085,105.5,0.5023809523809524
sanic,1,Module,PS,0,0,440.5520324707031,29.333333333333332,0.3371647509578544
sanic,3,Module,PS,0,1,196.67888522148132,44.0,0.5057471264367817
sanic,4,Module,PS,0,1,459.0560920238495,43.0,0.5058823529411764
spacy,1,Module,PS,0,0,0.2565317153930664,220.5,0.5011363636363636
spacy,2,Module,PS,0,0,83087.99269723892,220.0,0.5011389521640092
spacy,3,Module,PS,0,0,15.23869276046753,221.5,0.501131221719457
spacy,4,Module,PS,1,0,11.089735269546509,210.5,0.5011904761904762
spacy,5,Module,PS,1,0,71.84405374526978,207.5,0.501207729468599
spacy,6,Module,PS,0,1,306.7640278339386,3.0,0.007317073170731708
thefuck,2,Module,PS,0,0,7.9789745807647705,92.5,0.5027173913043478
thefuck,3,Module,PS,0,0,0.26230478286743164,91.0,0.5027624309392266
thefuck,4,Module,PS,1,0,13.70940113067627,88.5,0.5028409090909091
thefuck,6,Module,PS,1,0,5.421767711639404,87.5,0.5028735632183908
thefuck,7,Module,PS,0,0,18.607203722000122,84.5,0.5029761904761905
thefuck,8,Module,PS,0,0,14.905308246612549,81.5,0.5030864197530864
thefuck,13,Module,PS,0,0,32.64718770980835,58.0,0.5043478260869565
thefuck,14,Module,PS,0,1,11.717396974563599,56.0,0.5045045045045045
thefuck,15,Module,PS,0,0,37.31206679344177,55.5,0.5045454545454545
thefuck,17,Module,PS,0,0,290.60990047454834,35.333333333333336,0.33650793650793653
thefuck,19,Module,PS,0,0,58.811904191970825,46.5,0.5054347826086957
thefuck,20,Module,PS,0,0,6.726948022842407,46.5,0.5054347826086957
thefuck,25,Module,PS,0,0,9.800950765609741,41.0,0.5061728395061729
thefuck,26,Module,PS,0,0,15.910508871078491,41.5,0.5060975609756098
thefuck,28,Module,PS,0,0,254.17725825309753,40.5,0.50625
thefuck,29,Module,PS,0,0,2.6936237812042236,40.5,0.50625
tornado,1,Module,PS,0,0,2285.3014409542084,20.0,0.5128205128205128
tornado,5,Module,PS,0,1,15.831645965576172,22.5,0.5113636363636364
tornado,6,Module,PS,0,0,229.30976128578186,15.0,0.3409090909090909
tornado,8,Module,PS,0,0,3249.28294301033,1.0,0.022727272727272728
tqdm,4,Module,PS,1,0,51.20026516914368,6.5,0.5416666666666666
tqdm,5,Module,PS,1,1,452.6366128921509,6.0,0.5454545454545454
tqdm,6,Module,PS,1,0,9.69436502456665,5.5,0.55
tqdm,7,Module,PS,1,0,18.93904423713684,5.0,0.5555555555555556
tqdm,8,Module,PS,0,0,109.56104493141174,4.5,0.5625
tqdm,9,Module,PS,1,1,131.17345690727234,2.0,0.6666666666666666
youtube-dl,1,Module,PS,0,0,255.04470682144165,394.0,0.5006353240152478
youtube-dl,2,Module,PS,0,0,1180.5317454338074,390.0,0.5006418485237484
youtube-dl,6,Module,PS,0,1,8.705832242965698,286.0,0.500875656742557
youtube-dl,7,Module,PS,0,1,69.46882820129395,283.0,0.5008849557522124
youtube-dl,13,Module,PS,0,1,214.2409746646881,1.0,0.001226993865030675
youtube-dl,15,Module,PS,0,0,891.6497943401337,1.0,0.001282051282051282
youtube-dl,17,Module,PS,1,0,21.799129247665405,381.5,0.5006561679790026
youtube-dl,18,Module,PS,0,0,507.5519185066223,381.0,0.5006570302233903
youtube-dl,20,Module,PS,0,0,11.767359972000122,379.5,0.5006596306068601
youtube-dl,21,Module,PS,0,1,25.272900819778442,369.0,0.5006784260515604
youtube-dl,24,Module,PS,0,1,16454.483955860138,2.0,0.0028530670470756064
youtube-dl,25,Module,PS,0,0,264.5544602870941,1.0,0.0014771048744460858
youtube-dl,31,Module,PS,0,1,163.38179850578308,142.0,0.3341176470588235
youtube-dl,34,Module,PS,0,1,8.894504070281982,195.0,0.5012853470437018
youtube-dl,41,Module,PS,0,0,14.524153470993042,116.0,0.5021645021645021
youtube-dl,43,Module,PS,0,0,24.447188138961792,93.5,0.5026881720430108
