project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,java_exam_score,cumulative_distance,sv_comp_overall_score
black,6,Statement,Tarantula,0,1,1,0.11206574523720583,58.77962040901184,29.5,1,0.00032641409223687707,0.00032641409223687707,1.3405759162303665,-2.326701570680628
black,7,Statement,Tarantula,0,1,1,0.11876484560570072,64.7829794883728,194.0,1,0.002147704502430006,0.002147704502430006,3.7888652670741427,-2.507668653430014
black,8,Statement,Tarantula,0,1,1,0.7784431137724551,46.83869695663452,36.0,1,0.0003985695780698161,0.0003985695780698161,0.9426251331203408,-2.3129659211927582
black,10,Statement,Tarantula,0,1,1,1.0344827586206897,62.782360315322876,1.0,1,1.1079964100916312e-05,1.1079964100916312e-05,0.0,8
black,11,Statement,Tarantula,0,1,1,0.12526096033402923,56.28782558441162,711.3333333333334,1,0.00788294528113006,0.00788294528113006,2.528618152085037,-2.339699412062454
black,14,Statement,Tarantula,1,1,1,5.742574257425743,52.5775830745697,1.0,1,1.1112716281240624e-05,1.1112716281240624e-05,0.0,8.0
black,15,Statement,Tarantula,0,1,1,5.055368319691863,61.06019687652588,1.0,1,1.1103955228852518e-05,1.1103955228852518e-05,0.0,8.0
black,18,Statement,Tarantula,0,0,1,0.15467904098994587,49.46785068511963,1.5,1,0.0002920560747663551,0.0002920560747663551,0.0,2.999848714069592
black,19,Statement,Tarantula,0,0,1,0.20352781546811397,33.047914028167725,18.0,1,0.00401965163019205,0.00401965163019205,1.5581717451523545,-2.2114590988750074
black,23,Statement,Tarantula,0,1,1,0.06711409395973154,14.277763605117798,147.0,1,0.04016393442622951,0.04016393442622951,0.11187072715972654,-2.0196661635443487
cookiecutter,2,Statement,Tarantula,0,1,1,5.555555555555555,2.641118288040161,1.0,1,0.00066711140760507,0.00066711140760507,0.0,8
fastapi,1,Statement,Tarantula,0,1,1,16.129032258064516,40.023441553115845,4.666666666666666,1,0.0010458688181682353,0.0010458688181682353,0.0,-0.47895500725689377
fastapi,3,Statement,Tarantula,1,1,1,5.172413793103448,12.749234676361084,3.5,1,0.0007907817442385902,0.0007907817442385902,0.0,0.3023163886473239
fastapi,6,Statement,Tarantula,0,1,1,1.8518518518518516,1.0297150611877441,69.0,1,0.01567469332121763,0.01567469332121763,0,-7.15444164346452
fastapi,16,Statement,Tarantula,1,1,1,66.66666666666666,0.7255284786224365,1.0,1,0.00039416633819471815,0.00039416633819471815,0.0,8
httpie,2,Statement,Tarantula,0,1,1,1.6194331983805668,10.510277509689331,72.33333333333333,1,0.02637977145635789,0.02637977145635789,5,-7
httpie,3,Statement,Tarantula,1,0,1,0.47393364928909953,15.367119312286377,121.0,1,0.044600073719130114,0.044600073719130114,0,-7.0
httpie,4,Statement,Tarantula,0,1,1,0.2785515320334262,2.3080801963806152,269.5,1,0.10498636540708998,0.10498636540708998,0,-7.551687160423219
httpie,5,Statement,Tarantula,0,1,1,27.173913043478258,8.386019468307495,4.0,1,0.006633499170812604,0.006633499170812604,0.15282392026578073,5
keras,1,Statement,Tarantula,0,0,1,2.941176470588235,1049.5740146636963,1.0,1,2.6091948024839534e-05,2.6091948024839534e-05,0.0,8
keras,10,Statement,Tarantula,1,1,1,25.0,87.1016194820404,1.5,1,4.044107735030061e-05,4.044107735030061e-05,0.0,2.9991749174917492
keras,14,Statement,Tarantula,1,0,1,45.45454545454545,26.784066915512085,1.5,1,4.1849175571241246e-05,4.1849175571241246e-05,0.0,-2.0
keras,17,Statement,Tarantula,0,0,1,9.615384615384617,29.182665824890137,4.5,1,0.00012706121526993448,0.00012706121526993448,10.0,-1.3708333333333333
keras,33,Statement,Tarantula,1,1,1,95.45454545454545,6.845127820968628,1.6666666666666665,1,4.346503238144912e-05,4.346503238144912e-05,0.0,2.9965469613259668
keras,35,Statement,Tarantula,1,1,1,0.2145922746781116,18.091214179992676,7.5,1,0.00019959548648073238,0.00019959548648073238,0.0,-1.333970753655793
keras,38,Statement,Tarantula,1,0,1,0.11771630370806356,182.33350825309753,13.5,1,0.00036941768826619965,0.00036941768826619965,12.320566388115134,-3.008588672237697
keras,40,Statement,Tarantula,0,0,1,1.342281879194631,147.71782660484314,12.5,1,0.00035330695308083665,0.00035330695308083665,0.2937079731027858,-2.1594620557156583
keras,41,Statement,Tarantula,0,1,1,8.333333333333332,16.664397478103638,1.6666666666666665,1,4.8118101067259477e-05,4.8118101067259477e-05,0.0,2.9989510489510485
luigi,3,Statement,Tarantula,1,0,1,2.4390243902439024,22.991326093673706,1.0,1,4.669624095260332e-05,4.669624095260332e-05,0.0,8
luigi,5,Statement,Tarantula,0,0,1,3.6363636363636362,8.177030086517334,2.111111111111111,1,0.00010909571139016646,0.00010909571139016646,0.0,1.3284802043422732
luigi,12,Statement,Tarantula,0,1,1,22.857142857142858,1.066664695739746,46.85714285714286,1,0.002748864417291028,0.002748864417291028,0,-12.0
luigi,26,Statement,Tarantula,1,1,1,16.666666666666664,1.0492701530456543,4.0,1,0.0003273858241938124,0.0003273858241938124,0.009933774834437087,-0.7991169977924941
luigi,28,Statement,Tarantula,0,0,1,33.33333333333333,3.7732553482055664,2.0,1,0.00016854879487611664,0.00016854879487611664,0.0,1.329654157468727
luigi,29,Statement,Tarantula,1,1,1,19.565217391304348,4.152209997177124,10.333333333333334,1,0.0008674725766733826,0.0008674725766733826,0.34653465346534656,-2.2194719471947195
luigi,30,Statement,Tarantula,0,1,1,1.3050570962479608,34.18578243255615,67.63636363636364,1,0.005711083647417347,0.005711083647417347,12.524707412223668,-7.0
luigi,31,Statement,Tarantula,0,0,1,0.2890173410404624,45.113813638687134,33.5,1,0.002832262428136625,0.002832262428136625,31.58140814081408,-2.016501650165017
pandas,2,Statement,Tarantula,1,1,1,0.6765899864682002,1341.9947276115417,232.0,1,0.001806220561329752,0.001806220561329752,0.001083658430862592,-7.127329865626354
pandas,12,Statement,Tarantula,1,0,1,0.1620745542949757,2552.903843164444,104.0,1,0.0008142493638676844,0.0008142493638676844,0,-11.223300970873787
pandas,43,Statement,Tarantula,0,1,1,0.23134759976865238,85.88211822509766,923.75,1,0.007314340462258399,0.007314340462258399,0,-11.880952380952381
pandas,72,Statement,Tarantula,1,1,1,1.6006739679865205,15.268394708633423,3.25,1,2.5925128229672706e-05,2.5925128229672706e-05,0.0,-5.33341182626897
pandas,74,Statement,Tarantula,0,1,1,0.3546099290780142,134.1193699836731,96.5,1,0.0007701331971301565,0.0007701331971301565,80.0,-12.0
pandas,81,Statement,Tarantula,1,1,1,2.1505376344086025,23140.768271684647,87.5,1,0.000700224071702945,0.000700224071702945,207.5,-7.0
pandas,137,Statement,Tarantula,1,1,1,0.1282051282051282,3366.506372451782,347.5,1,0.0027750714730638386,0.0027750714730638386,0,-9.236717915432774
pandas,141,Statement,Tarantula,1,0,1,6.2645011600928076,46.401092290878296,92.5,1,0.0007409780910802259,0.0007409780910802259,0,-12.0
pandas,143,Statement,Tarantula,1,1,1,0.49261083743842365,2166.20321059227,51.5,1,0.0004127462452113421,0.0004127462452113421,0,-12.0
pandas,146,Statement,Tarantula,1,1,1,19.047619047619047,48.27202129364014,2.5,1,2.0057927294025143e-05,2.0057927294025143e-05,0.0,0.49193548387096797
sanic,3,Statement,Tarantula,0,1,1,5.88235294117647,284.4683532714844,17.5,1,0.0012862918044836457,0.0012862918044836457,25.02384196185286,-4.609673024523161
sanic,4,Statement,Tarantula,0,1,1,0.2004008016032064,47.88449215888977,18.5,1,0.0013499708114419148,0.0013499708114419148,25.0,-7.0
spacy,4,Statement,Tarantula,1,0,1,46.51162790697674,4.43233323097229,13.0,1,0.0001294665976178146,0.0001294665976178146,0.0851063829787234,-2.049645390070922
spacy,6,Statement,Tarantula,0,1,1,0.8620689655172413,34.51030898094177,18.666666666666664,1,0.00018750292973327706,0.00018750292973327706,22.5,-7.0
thefuck,4,Statement,Tarantula,1,0,1,37.5,27.40939736366272,4.0,1,0.0009675858732462506,0.0009675858732462506,0.0,-1.4112094395280237
thefuck,6,Statement,Tarantula,1,0,1,4.545454545454546,1.3505890369415283,2.0,1,0.0004889975550122249,0.0004889975550122249,0.0,-2.013888888888889
thefuck,14,Statement,Tarantula,0,1,1,100.0,7.336745738983154,1.0,1,0.00039261876717707107,0.00039261876717707107,0.0,8
thefuck,15,Statement,Tarantula,0,0,1,4.3478260869565215,3.262887954711914,2.0,1,0.0007914523149980214,0.0007914523149980214,0.0,-5.333333333333334
thefuck,17,Statement,Tarantula,0,0,1,1.7857142857142856,16.943659782409668,2.0,1,0.0008166598611678236,0.0008166598611678236,0.0,0.693877551020408
thefuck,20,Statement,Tarantula,0,0,1,58.333333333333336,0.8783576488494873,3.0,1,0.001344688480502017,0.001344688480502017,15.0,6
thefuck,26,Statement,Tarantula,0,0,1,57.89473684210527,2.047957181930542,2.0,1,0.0010964912280701754,0.0010964912280701754,0.0,1.953846153846154
thefuck,28,Statement,Tarantula,0,0,1,16.666666666666664,9.628909349441528,1.2,1,0.0006670372429127293,0.0006670372429127293,0.0,5.997014925373134
tornado,1,Statement,Tarantula,0,0,1,0.11689070718877849,78.14776730537415,1.0,1,5.662514156285391e-05,5.662514156285391e-05,0.0,8
tornado,5,Statement,Tarantula,0,1,1,27.397260273972602,2001.7016625404358,3.3333333333333335,1,0.00018432500184325002,0.00018432500184325002,0.0,0.20178068501862434
tqdm,5,Statement,Tarantula,1,1,1,1.240694789081886,80.39165186882019,8.333333333333334,1,0.004313319530710835,0.004313319530710835,0.4672330097087378,-2.078883495145631
tqdm,9,Statement,Tarantula,1,1,1,4.761904761904762,6.175822496414185,3.4,1,0.006343283582089552,0.006343283582089552,0.003278688524590164,0.6077496274217591
youtube-dl,1,Statement,Tarantula,0,0,1,0.2695417789757413,75.37886786460876,4.333333333333334,1,3.989847372992417e-05,3.989847372992417e-05,0.0,-0.33547723179830213
youtube-dl,2,Statement,Tarantula,0,0,1,1.6842105263157894,69.2180483341217,14.9,1,0.00014151525800416,0.00014151525800416,0,-2.7251848838167434
youtube-dl,6,Statement,Tarantula,0,1,1,33.33333333333333,35.18240404129028,1.5,1,2.3032275895955532e-05,2.3032275895955532e-05,0.0,2.999803304484658
youtube-dl,7,Statement,Tarantula,0,1,1,4.3478260869565215,91.02659153938293,5.333333333333333,1,8.495003875845518e-05,8.495003875845518e-05,0.0,-0.6688498402555907
youtube-dl,13,Statement,Tarantula,0,1,1,9.090909090909092,61.20927572250366,8.5,1,7.402827008996612e-05,7.402827008996612e-05,0.0006265664160401002,-2.000814536340852
youtube-dl,17,Statement,Tarantula,1,0,1,3.8461538461538463,82.45962834358215,2.0,1,1.9669744981756312e-05,1.9669744981756312e-05,0.0,1.9996861924686193
youtube-dl,18,Statement,Tarantula,0,0,1,0.21052631578947367,96.41504907608032,11.0,1,0.0001088634654210047,0.0001088634654210047,0,-1.5320910973084887
youtube-dl,20,Statement,Tarantula,0,0,1,3.571428571428571,67.46742272377014,34885.33333333333,0,0.3476469982494078,-1,0.010460251046025104,-2.0048378661087867
youtube-dl,21,Statement,Tarantula,0,1,1,88.88888888888889,57.83148527145386,2.0,1,2.0809272611875853e-05,2.0809272611875853e-05,0.0,1.9997255009607464
youtube-dl,24,Statement,Tarantula,0,1,1,0.1520912547528517,115.31560850143433,52.25,1,0.0005855522682445759,0.0005855522682445759,0,-6.119442228185972
youtube-dl,25,Statement,Tarantula,0,0,1,3.4482758620689653,38.36088013648987,7.666666666666667,1,9.095690619970183e-05,9.095690619970183e-05,0.0,-1.0931042556927941
youtube-dl,31,Statement,Tarantula,0,1,1,58.139534883720934,7.539561986923218,3.2,1,7.957427761476103e-05,7.957427761476103e-05,0.0,0.6655665566556661
black,6,Statement,Ochiai,0,1,1,0.11206574523720583,58.77962040901184,29.5,1,0.00032641409223687707,0.00032641409223687707,1.3405759162303665,-2.326701570680628
black,7,Statement,Ochiai,0,1,1,0.11876484560570072,64.7829794883728,194.0,1,0.002147704502430006,0.002147704502430006,3.7888652670741427,-2.507668653430014
black,8,Statement,Ochiai,0,1,1,0.7784431137724551,46.83869695663452,36.0,1,0.0003985695780698161,0.0003985695780698161,0.9426251331203408,-2.3129659211927582
black,10,Statement,Ochiai,0,1,1,1.0344827586206897,62.782360315322876,1.0,1,1.1079964100916312e-05,1.1079964100916312e-05,0.0,8
black,11,Statement,Ochiai,0,1,1,0.12526096033402923,56.28782558441162,711.3333333333334,1,0.00788294528113006,0.00788294528113006,2.528618152085037,-2.339699412062454
black,14,Statement,Ochiai,1,1,1,5.742574257425743,52.5775830745697,1.0,1,1.1112716281240624e-05,1.1112716281240624e-05,0.0,8.0
black,15,Statement,Ochiai,0,1,1,5.055368319691863,61.06019687652588,1.0,1,1.1103955228852518e-05,1.1103955228852518e-05,0.0,8.0
black,18,Statement,Ochiai,0,0,1,0.15467904098994587,49.46785068511963,1.5,1,0.0002920560747663551,0.0002920560747663551,0.0,2.999848714069592
black,19,Statement,Ochiai,0,0,1,0.20352781546811397,33.047914028167725,18.0,1,0.00401965163019205,0.00401965163019205,1.5581717451523545,-2.2114590988750074
black,23,Statement,Ochiai,0,1,1,0.06711409395973154,14.277763605117798,147.0,1,0.04016393442622951,0.04016393442622951,0.11187072715972654,-2.0196661635443487
cookiecutter,2,Statement,Ochiai,0,1,1,5.555555555555555,2.641118288040161,1.0,1,0.00066711140760507,0.00066711140760507,0.0,8
fastapi,1,Statement,Ochiai,0,1,1,16.129032258064516,40.023441553115845,4.666666666666666,1,0.0010458688181682353,0.0010458688181682353,0.0,-0.47895500725689377
fastapi,3,Statement,Ochiai,1,1,1,5.172413793103448,12.749234676361084,4.5,1,0.001016719385449616,0.001016719385449616,0.0,-0.7552672147995889
fastapi,6,Statement,Ochiai,0,1,1,1.8518518518518516,1.0297150611877441,69.0,1,0.01567469332121763,0.01567469332121763,0,-7.15444164346452
fastapi,16,Statement,Ochiai,1,1,1,66.66666666666666,0.7255284786224365,1.0,1,0.00039416633819471815,0.00039416633819471815,0.0,8
httpie,2,Statement,Ochiai,0,1,1,1.6194331983805668,10.510277509689331,72.33333333333333,1,0.02637977145635789,0.02637977145635789,5,-7
httpie,3,Statement,Ochiai,1,0,1,0.47393364928909953,15.367119312286377,121.0,1,0.044600073719130114,0.044600073719130114,0,-7.0
httpie,4,Statement,Ochiai,0,1,1,0.2785515320334262,2.3080801963806152,269.5,1,0.10498636540708998,0.10498636540708998,0,-7.551687160423219
httpie,5,Statement,Ochiai,0,1,1,27.173913043478258,8.386019468307495,4.0,1,0.006633499170812604,0.006633499170812604,0.15282392026578073,5
keras,1,Statement,Ochiai,0,0,1,2.941176470588235,1049.5740146636963,1.0,1,2.6091948024839534e-05,2.6091948024839534e-05,0.0,8
keras,10,Statement,Ochiai,1,1,1,25.0,87.1016194820404,1.5,1,4.044107735030061e-05,4.044107735030061e-05,0.0,2.9991749174917492
keras,14,Statement,Ochiai,1,0,1,45.45454545454545,26.784066915512085,1.5,1,4.1849175571241246e-05,4.1849175571241246e-05,0.0,-2.0
keras,17,Statement,Ochiai,0,0,1,9.615384615384617,29.182665824890137,4.5,1,0.00012706121526993448,0.00012706121526993448,10.0,-1.3708333333333333
keras,33,Statement,Ochiai,1,1,1,95.45454545454545,6.845127820968628,1.6666666666666665,1,4.346503238144912e-05,4.346503238144912e-05,0.0,2.9965469613259668
keras,35,Statement,Ochiai,1,1,1,0.2145922746781116,18.091214179992676,7.5,1,0.00019959548648073238,0.00019959548648073238,0.0,-1.333970753655793
keras,38,Statement,Ochiai,1,0,1,0.11771630370806356,182.33350825309753,13.5,1,0.00036941768826619965,0.00036941768826619965,12.320566388115134,-3.008588672237697
keras,40,Statement,Ochiai,0,0,1,1.342281879194631,147.71782660484314,12.5,1,0.00035330695308083665,0.00035330695308083665,0.2937079731027858,-2.1594620557156583
keras,41,Statement,Ochiai,0,1,1,8.333333333333332,16.664397478103638,1.6666666666666665,1,4.8118101067259477e-05,4.8118101067259477e-05,0.0,2.9989510489510485
luigi,3,Statement,Ochiai,1,0,1,2.4390243902439024,22.991326093673706,1.0,1,4.669624095260332e-05,4.669624095260332e-05,0.0,8
luigi,5,Statement,Ochiai,0,0,1,3.6363636363636362,8.177030086517334,2.4,1,0.0001240245982119787,0.0001240245982119787,0.0,-0.18641588296760658
luigi,12,Statement,Ochiai,0,1,1,22.857142857142858,1.066664695739746,46.85714285714286,1,0.002748864417291028,0.002748864417291028,0,-12.0
luigi,26,Statement,Ochiai,1,1,1,16.666666666666664,1.0492701530456543,4.0,1,0.0003273858241938124,0.0003273858241938124,0.009933774834437087,-0.7991169977924941
luigi,28,Statement,Ochiai,0,0,1,33.33333333333333,3.7732553482055664,2.0,1,0.00016854879487611664,0.00016854879487611664,0.0,1.329654157468727
luigi,29,Statement,Ochiai,1,1,1,19.565217391304348,4.152209997177124,10.333333333333334,1,0.0008674725766733826,0.0008674725766733826,0.34653465346534656,-2.2194719471947195
luigi,30,Statement,Ochiai,0,1,1,1.3050570962479608,34.18578243255615,67.63636363636364,1,0.005711083647417347,0.005711083647417347,12.524707412223668,-7.0
luigi,31,Statement,Ochiai,0,0,1,0.2890173410404624,45.113813638687134,33.5,1,0.002832262428136625,0.002832262428136625,31.58140814081408,-2.016501650165017
pandas,2,Statement,Ochiai,1,1,1,0.6765899864682002,1341.9947276115417,66.0,1,0.0005138386079644984,0.0005138386079644984,25.00108365843086,-7.127329865626354
pandas,12,Statement,Ochiai,1,0,1,0.1620745542949757,2552.903843164444,95.0,1,0.0007437854766099041,0.0007437854766099041,0,-11.148936170212766
pandas,43,Statement,Ochiai,0,1,1,0.23134759976865238,85.88211822509766,923.75,1,0.007314340462258399,0.007314340462258399,0,-11.880952380952381
pandas,72,Statement,Ochiai,1,1,1,1.6006739679865205,15.268394708633423,3.25,1,2.5925128229672706e-05,2.5925128229672706e-05,0.0,-5.33341182626897
pandas,74,Statement,Ochiai,0,1,1,0.3546099290780142,134.1193699836731,96.5,1,0.0007701331971301565,0.0007701331971301565,80.0,-12.0
pandas,81,Statement,Ochiai,1,1,1,2.1505376344086025,23140.768271684647,87.5,1,0.000700224071702945,0.000700224071702945,207.5,-7.0
pandas,137,Statement,Ochiai,1,1,1,0.1282051282051282,3366.506372451782,245.5,1,0.001960518119819201,0.001960518119819201,0.782767433369843,-2.782767433369843
pandas,141,Statement,Ochiai,1,0,1,6.2645011600928076,46.401092290878296,92.5,1,0.0007409780910802259,0.0007409780910802259,0,-12.0
pandas,143,Statement,Ochiai,1,1,1,0.49261083743842365,2166.20321059227,51.5,1,0.0004127462452113421,0.0004127462452113421,0,-12.0
pandas,146,Statement,Ochiai,1,1,1,19.047619047619047,48.27202129364014,2.5,1,2.0057927294025143e-05,2.0057927294025143e-05,0.0,0.49193548387096797
sanic,3,Statement,Ochiai,0,1,1,5.88235294117647,284.4683532714844,17.5,1,0.0012862918044836457,0.0012862918044836457,25.02384196185286,-4.609673024523161
sanic,4,Statement,Ochiai,0,1,1,0.2004008016032064,47.88449215888977,18.5,1,0.0013499708114419148,0.0013499708114419148,25.0,-7.0
spacy,4,Statement,Ochiai,1,0,1,46.51162790697674,4.43233323097229,13.0,1,0.0001294665976178146,0.0001294665976178146,0.0851063829787234,-2.049645390070922
spacy,6,Statement,Ochiai,0,1,1,0.8620689655172413,34.51030898094177,18.666666666666664,1,0.00018750292973327706,0.00018750292973327706,22.5,-7.0
thefuck,4,Statement,Ochiai,1,0,1,37.5,27.40939736366272,4.0,1,0.0009675858732462506,0.0009675858732462506,0.0,-1.4112094395280237
thefuck,6,Statement,Ochiai,1,0,1,4.545454545454546,1.3505890369415283,2.0,1,0.0004889975550122249,0.0004889975550122249,0.0,-2.013888888888889
thefuck,14,Statement,Ochiai,0,1,1,100.0,7.336745738983154,1.0,1,0.00039261876717707107,0.00039261876717707107,0.0,8
thefuck,15,Statement,Ochiai,0,0,1,4.3478260869565215,3.262887954711914,2.0,1,0.0007914523149980214,0.0007914523149980214,0.0,-5.333333333333334
thefuck,17,Statement,Ochiai,0,0,1,1.7857142857142856,16.943659782409668,2.0,1,0.0008166598611678236,0.0008166598611678236,0.0,0.693877551020408
thefuck,20,Statement,Ochiai,0,0,1,58.333333333333336,0.8783576488494873,3.0,1,0.001344688480502017,0.001344688480502017,15.0,6
thefuck,26,Statement,Ochiai,0,0,1,57.89473684210527,2.047957181930542,1.6666666666666665,1,0.0009137426900584795,0.0009137426900584795,0.0,2.9615384615384617
thefuck,28,Statement,Ochiai,0,0,1,16.666666666666664,9.628909349441528,1.2,1,0.0006670372429127293,0.0006670372429127293,0.0,5.997014925373134
tornado,1,Statement,Ochiai,0,0,1,0.11689070718877849,78.14776730537415,1.0,1,5.662514156285391e-05,5.662514156285391e-05,0.0,8
tornado,5,Statement,Ochiai,0,1,1,27.397260273972602,2001.7016625404358,3.3333333333333335,1,0.00018432500184325002,0.00018432500184325002,0.0,0.20178068501862434
tqdm,5,Statement,Ochiai,1,1,1,1.240694789081886,80.39165186882019,8.333333333333334,1,0.004313319530710835,0.004313319530710835,0.4672330097087378,-2.078883495145631
tqdm,9,Statement,Ochiai,1,1,1,4.761904761904762,6.175822496414185,3.4,1,0.006343283582089552,0.006343283582089552,0.003278688524590164,0.6077496274217591
youtube-dl,1,Statement,Ochiai,0,0,1,0.2695417789757413,75.37886786460876,4.333333333333334,1,3.989847372992417e-05,3.989847372992417e-05,0.0,-0.33547723179830213
youtube-dl,2,Statement,Ochiai,0,0,1,1.6842105263157894,69.2180483341217,14.9,1,0.00014151525800416,0.00014151525800416,0,-2.7251848838167434
youtube-dl,6,Statement,Ochiai,0,1,1,33.33333333333333,35.18240404129028,1.5,1,2.3032275895955532e-05,2.3032275895955532e-05,0.0,2.999803304484658
youtube-dl,7,Statement,Ochiai,0,1,1,4.3478260869565215,91.02659153938293,5.333333333333333,1,8.495003875845518e-05,8.495003875845518e-05,0.0,-0.6688498402555907
youtube-dl,13,Statement,Ochiai,0,1,1,9.090909090909092,61.20927572250366,8.5,1,7.402827008996612e-05,7.402827008996612e-05,0.0006265664160401002,-2.000814536340852
youtube-dl,17,Statement,Ochiai,1,0,1,3.8461538461538463,82.45962834358215,2.0,1,1.9669744981756312e-05,1.9669744981756312e-05,0.0,1.9996861924686193
youtube-dl,18,Statement,Ochiai,0,0,1,0.21052631578947367,96.41504907608032,11.0,1,0.0001088634654210047,0.0001088634654210047,0,-1.5320910973084887
youtube-dl,20,Statement,Ochiai,0,0,1,3.571428571428571,67.46742272377014,34885.33333333333,0,0.3476469982494078,-1,0.010460251046025104,-2.0048378661087867
youtube-dl,21,Statement,Ochiai,0,1,1,88.88888888888889,57.83148527145386,2.0,1,2.0809272611875853e-05,2.0809272611875853e-05,0.0,1.9997255009607464
youtube-dl,24,Statement,Ochiai,0,1,1,0.1520912547528517,115.31560850143433,52.25,1,0.0005855522682445759,0.0005855522682445759,0,-6.119442228185972
youtube-dl,25,Statement,Ochiai,0,0,1,3.4482758620689653,38.36088013648987,7.666666666666667,1,9.095690619970183e-05,9.095690619970183e-05,0.0,-1.0931042556927941
youtube-dl,31,Statement,Ochiai,0,1,1,58.139534883720934,7.539561986923218,3.2,1,7.957427761476103e-05,7.957427761476103e-05,0.0,0.6655665566556661
black,6,Statement,DStar,0,1,1,0.11206574523720583,58.77962040901184,29.5,1,0.00032641409223687707,0.00032641409223687707,1.3405759162303665,-2.326701570680628
black,7,Statement,DStar,0,1,1,0.11876484560570072,64.7829794883728,194.0,1,0.002147704502430006,0.002147704502430006,3.7888652670741427,-2.507668653430014
black,8,Statement,DStar,0,1,1,0.7784431137724551,46.83869695663452,36.0,1,0.0003985695780698161,0.0003985695780698161,0.9426251331203408,-2.3129659211927582
black,10,Statement,DStar,0,1,1,1.0344827586206897,62.782360315322876,1.0,1,1.1079964100916312e-05,1.1079964100916312e-05,0.0,8
black,11,Statement,DStar,0,1,1,0.12526096033402923,56.28782558441162,711.3333333333334,1,0.00788294528113006,0.00788294528113006,2.528618152085037,-2.339699412062454
black,14,Statement,DStar,1,1,1,5.742574257425743,52.5775830745697,1.0,1,1.1112716281240624e-05,1.1112716281240624e-05,0.0,8.0
black,15,Statement,DStar,0,1,1,5.055368319691863,61.06019687652588,1.0,1,1.1103955228852518e-05,1.1103955228852518e-05,0.0,8.0
black,18,Statement,DStar,0,0,1,0.15467904098994587,49.46785068511963,1.5,1,0.0002920560747663551,0.0002920560747663551,0.0,2.999848714069592
black,19,Statement,DStar,0,0,1,0.20352781546811397,33.047914028167725,18.0,1,0.00401965163019205,0.00401965163019205,1.5581717451523545,-2.2114590988750074
black,23,Statement,DStar,0,1,1,0.06711409395973154,14.277763605117798,147.0,1,0.04016393442622951,0.04016393442622951,0.11187072715972654,-2.0196661635443487
cookiecutter,2,Statement,DStar,0,1,1,5.555555555555555,2.641118288040161,1.0,1,0.00066711140760507,0.00066711140760507,0.0,8
fastapi,1,Statement,DStar,0,1,1,16.129032258064516,40.023441553115845,4.666666666666666,1,0.0010458688181682353,0.0010458688181682353,0.0,-0.47895500725689377
